HypernymID	Hypernym	HyponymID	Hyponym	EvidentalSentIDs
3566	max_cut	3619	dominating_set	at-2023#4:1,at-2024#4:1
2179	graph_coloring	3619	dominating_set	at-2023#6:1,at-2024#6:1
745	performance_measures	1063	outage_probability	av-1943#7:1,aw-2331#4:1
2364	kernel_machines	63	support_vector_machines	aw-2916#1:1,bi-2612#2:1
4871	post_processing	3574	phase_unwrapping	az-739#5:1,bd-596#5:1
923	three_dimensional	587	human_actions	az-1749#6:1,be-204#2:1
844	medical_images	2525	magnetic_resonance_imaging	ba-313#7:1,bb-82#7:1
1024	benchmark_data_sets	1489	pascal_voc	ba-1461#1:1,bc-2030#1:1
492	latent_variables	3482	key_frames	ba-1607#4:1,bd-40#4:1
3306	computer_vision_applications	1680	object_categorization	ba-2213#7:1,bg-865#8:1
1046	graph_partitioning	1224	video_segmentation	ba-2255#4:1,bc-2436#4:1
8961	k_means	4	clustering	bb-434#3:1,bb-434#6:1
498	clutter	31	trees	bb-1104#3:1,bc-2190#3:1
515	optimization_techniques	6765	replicator_dynamics	bb-2165#3:1,bc-1482#3:1
307	local_features	5390	scale_invariant_feature_transform	bb-2292#1:1,bc-2281#1:1
183	bayesian_networks	175	hidden_markov_models	bc-524#1:1,bc-1105#1:1
3306	computer_vision_applications	102	face_recognition	bd-899#1:1,bg-865#8:1
2317	video_compression	2333	transform_coding	bg-275#10:1,bg-299#4:1
2317	video_compression	1572	motion_compensation	bg-275#10:1,bg-299#4:1
2317	video_compression	1391	variable_length	bg-275#10:1,bg-299#4:1
3786	wearable_devices	235	smart_phones	bg-2256#2:1,bk-2123#1:1
129	side_information	394	class_labels	bh-1108#2:1,bl-1131#5:1
771	lisp	105	programming_language	bj-1069#7:1,bj-1669#1:1
5263	linguistic_theory	50	parsing	bk-134#0:1,bk-134#6:1
565	training_samples	314	sensor_data	aa-9#1:1
1299	performance_metrics	203	energy_consumption	aa-83#1:1
1085	unix	282	file_system	aa-92#1:1
5117	embedded_devices	53	wireless_sensor_networks	aa-256#1:1
2355	network_services	1387	time_synchronization	aa-389#5:1
30	sensor_networks	13	wireless	aa-995#5:1
314	sensor_data	611	acceleration	aa-1037#12:1
176	real_time	949	voip	aa-1163#1:1
218	authentication	34	social_networks	aa-1200#8:1
696	mobile_applications	789	social_networking	aa-1208#1:1
1874	multimedia_applications	7958	voice_over_ip	aa-1210#6:1
745	performance_measures	1368	signal_strength	aa-1270#4:1
99	interfaces	591	bluetooth	aa-1316#1:1
8689	mechanical_systems	3681	heating	aa-1446#1:1
3694	challenged_networks	2	experimental_results	aa-1630#9:1
5	communication	6305	dsrc	aa-1785#3:1
5	communication	148	wifi	aa-1785#3:1
355	smartphone	117	mobile_devices	aa-1828#1:1
2655	network_protocols	61	broadcast	aa-1880#2:1
3353	wireless_technology	591	bluetooth	aa-1946#2:1
234	domain_knowledge	3997	temporal_locality	aa-2110#9:1
234	domain_knowledge	4207	spatial_locality	aa-2110#9:1
234	domain_knowledge	3292	initial_estimate	aa-2110#9:1
99	interfaces	1339	lte	ab-48#2:1
1328	network_resources	4185	link_bandwidth	ab-232#4:1
2010	physical_world	2003	rfid_tags	ab-248#1:1
1252	dynamic_environments	5671	peer_to_peer	ab-340#6:1
245	distributed_systems	967	prototyping	ab-346#1:1
4406	high_speed_networks	3218	fddi	ab-363#2:1
3977	gnutella	2748	p2p_systems	ab-524#0:1
2748	p2p_systems	3977	gnutella	ab-524#2:1
2226	bit_error_rate	8189	satellite_links	ab-540#3:1
245	distributed_systems	1172	computer_networks	ab-723#1:1
47	topology	21	internet	ab-727#12:1
4972	ip_traffic	14	routing	ab-956#20:1
1138	electricity	609	end_users	ab-975#3:1
3231	virtual_network	1006	software_components	ab-1277#0:1
1328	network_resources	3603	battery_power	ab-1429#2:1
4809	rfid_technology	6352	inventory_management	ab-1849#7:1
4809	rfid_technology	176	real_time	ab-1849#7:1
49	geometry	1338	voronoi_diagram	ab-1945#2:1
443	contextual_information	5	communication	ab-2223#2:1
58	multicast	5669	multimedia_streaming	ac-104#2:1
222	resource_allocation	5134	relay_selection	ac-245#1:1
222	resource_allocation	516	power_control	ac-245#1:1
1045	traffic_engineering	3529	link_utilization	ac-367#9:1
1045	traffic_engineering	14	routing	ac-367#9:1
2132	bittorrent	2430	file_sharing	ac-368#0:1
232	routing_protocols	4658	dynamic_source_routing	ac-462#6:1
5872	interference_management	7115	carrier_sense_multiple_access	ac-641#3:1
